alpha,theta,lambda,shock_country,mean_CR,mean_M,share_high_M,share_assets_shock_country,network_density,spectral_radius,average_degree,clustering_coefficient,initial_defaults_ratio,initial_total_capital_loss,mean_CR_after_shock,L_mean,L_std,N_mean,cascade_depth_mean
0.008581218893637648,0.03145548184423377,0.18113421317886974,IT,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.09251725361800714,0.028482076176250933,180869.40339746888,5.867307692307692,0.06637027018601561,0.0,7640.221966222108,0.06656071959906344,7640.221966222108,0.0,0.0,0.0
0.013187263007793396,0.026673348564612943,0.05960470154513231,LT,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0011556923993211276,0.02879947722180732,48605.44523487451,5.932692307692308,0.06137316055980001,0.0,144.02671006365662,0.06688912926546185,144.02671006365662,2.842170943040401e-14,0.0,0.0
0.013079329763197887,0.03659452839422862,0.12512852161762422,IE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.01713276926736746,0.02872479462285287,114532.89693738865,5.917307692307692,0.06609303455244059,0.0,1672.7054809344668,0.06689259679823857,15819150.937346246,2370409.56527689,96.4,11.1
0.014090403703337244,0.046987619892278065,0.11929195208877559,DK,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.028253436830657223,0.028575429424943993,81606.44744523353,5.886538461538462,0.07198800035600214,0.028846153846153848,2510.107513861385,0.06689593032622208,12144691.816309007,4957517.928069025,97.8,6.3
0.009430712196369085,0.035790638668501074,0.12702492802337773,LI,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0032776791089750837,0.028015309932785663,80034.08793639447,5.771153846153846,0.0549250911807805,0.0,112.38240818825852,0.06696624775903767,13610487.92071082,3113651.0313743968,94.4,10.0
0.017378966031236804,0.031786992267853455,0.08342555453979134,BE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02288107687537083,0.027744585511575805,62543.7575881306,5.7153846153846155,0.07278007760166431,0.0,3779.4094618457943,0.06676117726245448,3779.4094618457943,0.0,0.0,0.0
0.01285584248379901,0.025920143332262658,0.22006719392200086,LV,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.00017912712218500905,0.02879947722180732,163161.8710776565,5.9326923076923075,0.06832102510919905,0.0,18.41621935689068,0.06695584797589617,18.41621935689068,0.0,0.0,0.0
0.006621236829479529,0.04331467073752225,0.19033225046838537,LI,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0032776791089750837,0.028370052277819267,147504.33770421072,5.844230769230771,0.06638792896162556,0.0,78.90289986457105,0.0669736327580991,17550216.161559194,4344433.107280347,98.4,6.4
0.01121292683182356,0.03375104401908283,0.08436703342477483,SE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.03484225205849437,0.027539208364451083,68250.02298252586,5.673076923076923,0.05492293050044143,0.009615384615384614,3414.9104284874156,0.06679667588290382,9304323.762397433,6838615.815524872,67.0,12.2
0.010444884989347054,0.033252055866854424,0.0877557832742691,MT,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0007485870275974774,0.02826736370425691,70295.37735151198,5.823076923076923,0.06620373571966515,0.0,75.00537778072261,0.0669250410598627,9958281.423333649,5612805.198774805,77.7,12.3
0.019499021121512722,0.04688359482166536,0.12954387921500643,BE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02288107687537083,0.028239357729648994,122726.72025032213,5.8173076923076925,0.05715781653902311,0.01923076923076923,4240.458539991261,0.06673313669377516,13293352.445471553,2008370.5247605687,96.6,6.3
0.014744976861283409,0.026376246613259963,0.22752928653004423,CY,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0009273096783299663,0.02781926811053025,230038.2924337239,5.730769230769231,0.06257625590140559,0.0,77.52886217985406,0.06696242121516667,77.52886217985406,0.0,0.0,0.0
0.01326114277438048,0.034905474335221405,0.2392182557474412,LI,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0032776791089750837,0.02863144137415982,260776.68262481783,5.898076923076923,0.07809619450615549,0.0,158.0282728686168,0.06695617907270678,29051125.455495805,6826706.780203704,96.8,10.0
0.010118567254708662,0.04708959489511154,0.10694446768900477,LV,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.00017912712218500905,0.02832337565347274,84781.73707965242,5.834615384615385,0.06127291225040118,0.0,14.495024684302052,0.06696334052695306,10563550.6651395,2093531.9321642255,97.8,6.5
0.015014807494039297,0.044636582090208377,0.1444013235790121,PL,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.007420625800850038,0.028202016430171773,110435.99941771086,5.809615384615386,0.07746215161801547,0.0,1953.8090909352309,0.0668141496165464,15488480.635030985,3418418.473062461,97.7,7.2
