LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final,lat,lon
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",PT,105492.94671251,0.0391065076926292,0.0633726098453671,0.3272927464951987,38.767159,-9.1552484
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A.",ES,746954.769,0.2888092538911389,0.0691254800730779,0.3347884030393076,37.3936848,-5.9634001
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,DK,261751.072683232,0.0999333282687645,0.0458864739106913,0.2266963971181937,55.6867243,12.5700724
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,IT,90728.178918,0.0333590057569332,0.0994047979421166,0.5532634251053244,46.0753962,11.1221849
M312WZV08Y7LYUC71685,Swedbank - Grupp,SE,243394.191181088,0.0927875191754345,0.0645343092606294,0.3537706777817908,59.3251172,18.0710935
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,GR,81249.260154,0.0296691337113563,0.0630769529997707,0.3947698108541264,37.9755648,23.7348324
MAES062Z21O4RZ2U7M96,Danske Bank A/S,DK,429188.905804365,0.165112089178929,0.0469997661390467,0.2143222784275769,55.6950876,12.4185955
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,IE,199586.47853389,0.0757344292289873,0.0723979160283803,0.302489792342153,53.3493795,-6.2605593
N747OI7JINV7RUUH6190,BPER Banca S.p.A.,IT,144528.170147,0.0543018040476102,0.0623926972079441,0.4217316222125277,43.7114155,10.4223412
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,SE,302582.926015733,0.1158280012722823,0.0440066318685841,0.314340325357273,59.3251172,18.0710935
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,IT,165725.373689,0.0625532692981703,0.0993109192191999,0.5322136349230949,41.8933203,12.4829321
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,FR,1380480.01686054,0.5354225185944738,0.0380562154842747,0.2692167023138951,47.255823,-1.514166
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,128385.317776206,0.0480178531897245,0.0839362151487931,0.6626659604834904,52.2333742,21.0711489
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,103838.14001,0.0384623387589725,0.0668074458703894,0.3598117790295705,41.8933203,12.4829321
R0MUWSFPU8MPRO8K5P83,BNP Paribas,FR,2573933.922967,1.0,0.0381830176571553,0.2638517449279815,48.8683364,2.3324349
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A.",ES,252376.61,0.0962841179887342,0.041003860223021,0.4123937331737889,42.8849199,-8.5338243
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",PT,106244.312257,0.0393989928154211,0.0933322848380212,0.2781760917876116,38.7377023,-9.1461742
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,DE,30786.43044431,0.0100253969812069,0.1060401940395583,0.2010159369533924,52.5173885,13.3951309
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,DE,282416.56597908,0.1079778139236059,0.0460001732616928,0.5003576829016868,48.1446313,11.5736717
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",ES,131772.988097,0.0493365763824796,0.0419531733767055,0.4184658660343436,41.6547613,-4.7237342
