LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final
529900JG015JC10LED24,AS LHV Group,EE,9373.97036497,0.0016901385154570916,0.06861046575348953,0.38267594491451035
529900JZTYE3W7WQH904,HASPA Finanzholding,DE,57845.20317157,0.020558603516653718,0.08871511430756235,0.4348696959324701
529900ODI3047E2LIV03,Nordea Bank Abp,FI,546907.59171511,0.21093660769192438,0.043819001957754865,0.198191731065605
529900OE1FOAM50XLP72,Liechtensteinische Landesbank AG,LI,30112.6059669947,0.009763096378746507,0.06583505160296009,0.15770209481823258
529900RWC8ZYB066JF16,Bank of Valletta Plc,MT,15910.939,0.004234793494547883,0.08014717483487303,0.3537135399701502
529900S9YO2JHTIIDG38,BAWAG Group AG,AT,72765.13813337,0.0263665075939051,0.040535399296484455,0.32949986453601393
529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,DE,203659.32221377,0.07731987081937941,0.14939478232228365,0.01987619576591224
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien,AT,35247.13769061,0.011761822767883807,0.10713979218080005,0.21160714251748258
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG,DE,55400.52916777,0.019606961827157536,0.09358039674621187,0.15903850444520684
529900W3MOO00A18X956,OTP-csoport,HU,111302.008938691,0.04136780951966975,0.11029552166813457,0.23479294372239
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,AT,48461.1409869899,0.016905656425225644,0.1159184314372233,0.12479910569337983
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki S.A.,PL,80080.3479287179,0.02921410960457933,0.07854724625270625,0.5625463070058841
5493001BABFV7P27OW30,"Nova Ljubljanska Banka d.d., Ljubljana",SI,29570.817,0.009552193425183049,0.09478148676108611,0.1770997197764384
54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.",ES,81974.001,0.02995125460030202,0.06233856552884371,0.4631260811332323
5493006QMFDDMYWIAM13,"Banco Santander, S.A.",ES,1797909.92,0.6979160443784381,0.045192979871316354,0.24484644953626758
5493007SJLLCTM6J6M37,"Unicaja Banco, S.A.",ES,95150.416,0.035080456208619465,0.04825182118699302,0.5147383792637128
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta,BE,59468.99203409,0.021190698092090628,0.05176711865605691,0.21512254254326374
5493009EIBTCB1X12G89,LGT Group Foundation,LI,61966.3609230137,0.02216285239366882,0.08379702483576908,0.11567275354039863
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - gruppen,SE,46579.8992508859,0.01617334280741241,0.040372406698551716,0.4471665766071404
549300C9KPZR0VZ16R05,Morgan Stanley Europe Holding SE,DE,110484.43948599,0.04104955310836932,0.05693813032194188,0.24633164426310672
